"ID","Lote","Categoria","Titulo","Prioridad","Estado","Problema que resuelve","Implementacion detallada","Archivos afectados","Pasos de test","Criterio de aceptacion","Dependencias","Riesgo","Esfuerzo"
"105","L2","Vehiculo","Indicador de asiento propio","Media","Pendiente","El rol se deduce del texto de controles, que es largo y cambia. No hay un indicador estable de en que asiento estas.","Elemento fijo en el HUD del vehiculo que muestra el asiento actual, actualizado desde currentSeat.","UI/VehicleStatusView.cs. Player/PlayerInputDriver.cs","Cambiar de asiento con SwitchSeat y leer el indicador antes y despues.","El indicador refleja siempre el asiento real.","Ninguna","Bajo","S"
"106","L2","Vehiculo","Cambio de asiento con transicion","Media","Pendiente","SwitchSeat cambia el ancla de camara de un frame al otro. Pasar de conductor a artillero es un salto instantaneo y desorientador.","Aplicar BeginTransition entre el ancla vieja y la nueva, igual que ya se hace al montar.","Player/PlayerInputDriver.cs en SwitchSeat","Cambiar de asiento y leer IsTransitioning inmediatamente despues y tras la duracion.","IsTransitioning es true tras el cambio y la camara llega al ancla correcta.","Punto 103","Bajo","S"
"107","L2","Vehiculo","Daño de vehiculo distinto al personal","Media","Pendiente","Dentro del tanque el daño al vehiculo usaria el mismo viñeteo que el daño al soldado, lo que confunde estar blindado con estar herido.","Efecto propio de impacto en blindaje, distinto del viñeteo personal, activo solo mientras se este a bordo.","UI/DamageVignetteView.cs. UI/VehicleStatusView.cs","Dañar el vehiculo con el jugador dentro y verificar cual efecto se activo. Repetir dañando al soldado a pie.","Cada caso usa su propio efecto sin solaparse.","Punto 20","Bajo","M"
"108","L2","Vehiculo","Humo progresivo por vida","Media","Pendiente","La unica señal de que el tanque esta por reventar es la barra de vida, que exige mirar el HUD justo cuando hay que mirar el campo.","Efecto de humo cuya intensidad escala con la vida faltante, servido desde el presupuesto global de efectos.","Vehicles/Vehicle.cs. Presentation nueva con pool.","Bajar la vida por tramos y leer la intensidad del efecto en cada tramo.","La intensidad sube monotonamente al bajar la vida.","Punto 234","Bajo","M"
"109","L2","Torreta","Reticulo propio de torreta","Alta","Pendiente","Como artillero se usa la misma mirilla de infanteria, que no comunica lo unico que importa en una torreta que gira lento: si el cañon ya llego a donde apuntas.","Reticulo propio con dos estados alimentados por IsAimedAt, que ya existe y se usa para el auto apuntado.","UI/AimUI.cs o vista nueva. Vehicles/TurretWeapon.cs","Apuntar lejos y cerca del blanco y leer el estado del reticulo en cada caso.","Muestra dos estados claramente distintos segun IsAimedAt.","Punto 110","Bajo","M"
"110","L2","Torreta","Mostrar el giro pendiente","Media","Pendiente","El cañon gira a cincuenta grados por segundo, asi que hay un retraso notable entre donde apuntas y donde esta el cañon, sin ninguna representacion visual de esa diferencia.","Marca del angulo objetivo separada de la del cañon actual, para que se vea la brecha cerrarse durante el giro.","UI/AimUI.cs. Vehicles/TurretWeapon.cs","Pedir un angulo lejano y comparar la marca objetivo contra la orientacion del cañon durante el giro y al terminar.","Difieren durante la rotacion y coinciden al completarse.","Punto 109","Bajo","M"
"111","L2","Torreta","Cooldown de torreta visible","Media","Pendiente","El cooldown de medio segundo no tiene indicador. El jugador aprieta y no pasa nada sin saber cuanto falta.","Barra o arco de recarga alimentado por el cooldownTimer de TurretWeapon, expuesto como fraccion igual que hace WeaponHolder.","Vehicles/TurretWeapon.cs. UI/VehicleStatusView.cs","Disparar y muestrear el llenado a 0.1 y a 0.6 segundos.","El llenado progresa de cero a uno en el tiempo del cooldown.","Ninguna","Bajo","S"
"112","L2","Torreta","Previsualizacion del radio de explosion","Alta","Pendiente","El proyectil de torreta tiene radio de explosion de tres unidades pero nada lo muestra. El jugador no puede aprovechar el area ni evitar dañar a los suyos.","Circulo en el suelo en el punto apuntado con el explosionRadius real leido del arma, no un valor duplicado.","Vehicles/TurretWeapon.cs. Presentation nueva.","Comparar el radio dibujado contra el campo explosionRadius del TurretWeapon.","Coinciden exactamente y el circulo sigue al punto apuntado.","Punto 141","Bajo","M"
"113","L2","Torreta","Retroceso y fogonazo del cañon","Alta","Pendiente","El disparo mas potente del juego no mueve nada. El cañon queda estatico, lo que lo hace sentir menos poderoso que un rifle.","Hundir el cañon en su eje local al disparar y devolverlo por lerp, mas un destello en la boca.","Vehicles/TurretWeapon.cs en TryFire","Medir la posicion local del cañon antes, durante y despues del disparo.","Se hunde y vuelve al valor original.","Punto 152","Bajo","S"
"114","L2","Torreta","Aviso de que la IA tomo la torreta","Media","Pendiente","TurretAI cede el control cuando hay artillero humano y lo retoma al bajarse, pero ese traspaso es invisible. El jugador ve la torreta moverse sola sin saber por que.","Aviso al traspasar el control en cualquiera de los dos sentidos, disparado desde la deteccion de Gunner de TurretAI.","Vehicles/TurretAI.cs. UI vista de avisos.","Desmontar al artillero y verificar el aviso y que TurretAI vuelve a apuntar. Volver a montar y verificar el aviso inverso.","Aparece el aviso en ambos sentidos y el control cambia efectivamente.","Punto 216","Bajo","S"
"115","L2","Ordenes","Cola de ordenes","Alta","Pendiente","IssueMoveOrder reemplaza el destino anterior, asi que no se pueden planificar rutas. Cada orden borra la anterior.","Cola de destinos en AiBrain que se consume en orden, con la orden simple limpiando la cola y la orden con modificador encolando.","Ai/AiBrain.cs. Player/OrderService.cs. Player/PlayerInputDriver.cs.","Dar tres ordenes encoladas y leer los puntos guardados y el orden en que se recorren.","Guarda tres puntos y los recorre en el orden dado.","Punto 200","Medio. Cambia el modelo de ordenes que hoy asume un unico destino.","M"
"116","L2","Ordenes","Marcadores numerados","Media","Pendiente","Con varias ordenes encoladas los marcadores son indistinguibles, asi que no se puede leer la secuencia planificada.","Numerar los marcadores segun su posicion en la cola y renumerarlos al consumirse cada tramo.","Presentation/OrderMarkerFx.cs","Encolar tres ordenes y leer los numeros de los marcadores. Consumir una y verificar la renumeracion.","Los marcadores muestran la secuencia correcta y se renumeran al avanzar.","Punto 115","Bajo","S"
"117","L2","Ordenes","Formacion al mover el grupo","Alta","Pendiente","IssueMoveOrderForSelection manda a todos exactamente al mismo punto. Los soldados terminan superpuestos en una sola coordenada, que ademas se ve mal y es tacticamente absurdo.","Repartir destinos alrededor del punto ordenado segun la cantidad de seleccionados, con una separacion minima configurable.","Player/OrderService.cs en IssueMoveOrderForSelection","Ordenar mover tres soldados a un punto y comparar los tres destinos asignados y la distancia entre ellos.","Tres destinos distintos con al menos la separacion minima.","Punto 228","Medio. Sin evitacion entre unidades igual pueden atravesarse en el camino.","M"
"118","L2","Ordenes","Previsualizacion de formacion","Media","Pendiente","El jugador no ve donde va a quedar cada soldado hasta despues de dar la orden, cuando ya no puede corregirla.","Marcadores fantasma mostrados mientras se mantiene el boton, confirmados al soltar y descartados al cancelar.","Player/PlayerInputDriver.cs. Presentation/OrderMarkerFx.cs","Simular el boton mantenido y verificar los marcadores fantasma antes de soltar y su confirmacion al soltar.","Aparecen antes de soltar y se confirman o descartan correctamente.","Punto 117","Bajo","M"
"119","L2","Ordenes","Orden de ataque con click derecho","Alta","Pendiente","IssueAttackOrder existe y funciona pero no esta cableada a ninguna entrada en RTS. Es una capacidad implementada que el jugador no puede usar.","Detectar en la rama RTS que el objetivo bajo el cursor es un enemigo y emitir orden de ataque en vez de orden de movimiento.","Player/PlayerInputDriver.cs en UpdateRts. Player/OrderService.cs.","Click derecho sobre un enemigo y leer AiBrain.State del seleccionado.","El estado pasa a MovingToAttackOrder y el soldado persigue al enemigo.","Ninguna","Bajo","S"
"120","L2","Ordenes","Estado de cada soldado en RTS","Media","Pendiente","AiStateChangedEvent se publica en cada cambio pero nadie lo consume visualmente. El jugador no sabe si un soldado esta patrullando, persiguiendo o cumpliendo una orden.","Indicador sobre cada soldado alimentado por el evento, con LOD por distancia para que no cueste a escala.","Presentation nueva. Ai/AiBrain.cs ya publica el evento.","Forzar cambios de estado y leer el indicador en cada uno.","El indicador refleja el estado actual de cada soldado.","Punto 231","Medio. Con cincuenta unidades hace falta LOD y pooling.","M"
"121","L2","Ordenes","Cancelar ordenes de la seleccion","Media","Pendiente","Una vez dada la orden el soldado la ejecuta hasta el final. No hay forma de detenerlo si la situacion cambio.","Comando que limpia la cola y devuelve al estado de patrulla o reposo, limpiando tambien los marcadores asociados.","Ai/AiBrain.cs. Player/PlayerInputDriver.cs.","Dar orden, cancelar y leer estado, cola y marcadores.","El estado vuelve, la cola queda vacia y los marcadores desaparecen.","Punto 115","Bajo","S"
"122","L2","Ordenes","Sonido de orden una vez por lote","Alta","Pendiente","IssueMoveOrder dispara el sonido de orden por cada soldado. Con tres seleccionados suenan tres veces superpuestas, y con cincuenta seria un estruendo. Es un defecto que ya esta en el codigo.","Mover la reproduccion del sonido de IssueMoveOrder individual a IssueMoveOrderForSelection, que conoce el lote completo.","Player/OrderService.cs","Ordenar a tres soldados y contar las reproducciones del clip de orden.","Se reproduce exactamente una vez por lote sin importar la cantidad.","Punto 189","Bajo","S"
"123","L2","Ordenes","Confirmacion por soldado","Media","Pendiente","El sonido unico por lote no dice quienes recibieron la orden. Si la seleccion no era la esperada el jugador no se entera.","Destello breve en el anillo de seleccion de cada soldado que recibio la orden, reutilizando los anillos ya existentes.","Presentation/SelectionRingFx.cs. Player/OrderService.cs.","Ordenar a tres y verificar el destello en los tres anillos correspondientes.","Los anillos de los destinatarios destellan y ningun otro.","Punto 122","Bajo","S"
"124","L2","Ordenes","Grupos de control","Alta","Pendiente","No hay forma de guardar una seleccion. Reagrupar las mismas unidades exige rehacer el arrastre cada vez, que es el gesto mas repetido de un RTS.","Diccionario de grupos por tecla numerica, guardando ids y no referencias para tolerar bajas, con asignacion por modificador y recuperacion directa.","Player/SelectionController.cs. Player/PlayerInputDriver.cs.","Guardar un grupo, cambiar la seleccion, recuperarlo y comparar los ids. Matar a un integrante y recuperar de nuevo.","Los ids recuperados son los guardados excluyendo a los caidos.","Punto 204","Bajo","M"
"125","L2","Ordenes","Centrar camara en el grupo","Media","Pendiente","Recuperar un grupo lo selecciona pero no lleva la vista hasta el, asi que hay que panear a mano para verlo.","Detectar la doble pulsacion de la misma tecla de grupo y centrar la camara en el centroide del grupo.","Player/PlayerInputDriver.cs. Camera/CameraRig.cs.","Medir la posicion de camara tras la primera y la segunda pulsacion.","La primera solo selecciona y la segunda centra la vista en el grupo.","Punto 124, punto 70","Bajo","S"
"126","L2","Ordenes","Feedback de orden invalida","Media","Pendiente","Ordenar sobre un obstaculo o sobre un vehiculo destruido no hace nada y no avisa. El jugador cree que la orden se dio.","Validar el destino antes de emitir y responder con un aviso y un sonido de rechazo cuando no es valido.","Player/OrderService.cs. Player/PlayerInputDriver.cs.","Ordenar sobre un obstaculo y sobre un vehiculo destruido y verificar el aviso y que no se emitio la orden.","Aparece el rechazo y el estado del soldado no cambia.","Punto 216","Bajo","S"
"127","L2","Posesion","Transicion al poseer","Alta","Pendiente","PossessSquadIndex cambia la camara de golpe. La secuencia de muerte ya usa BeginTransition y se siente mucho mejor, lo que muestra la diferencia.","Aplicar BeginTransition hacia el EyeAnchor del nuevo soldado, igual que ya hace DeathSequence al pasar al aliado mas cercano.","Player/PlayerInputDriver.cs en PossessSquadIndex y en la rama de posesion por punteria","Poseer y leer IsTransitioning inmediatamente despues y tras la duracion.","IsTransitioning es true tras poseer y la camara llega al ancla correcta.","Punto 34","Bajo","S"
"128","L2","Posesion","Aviso de a quien pasaste","Media","Pendiente","Tras poseer no se confirma a quien. Con tres soldados de nombres parecidos es facil perder la cuenta de a quien estas controlando.","Texto breve con el nombre del nuevo soldado, alimentado por el PossessionChangedEvent que ya se publica en Swap.","UI/InstructionBannerView.cs. Player/PossessionService.cs.","Poseer y leer el texto mostrado y su expiracion.","Muestra el nombre correcto y se apaga solo.","Punto 11","Bajo","S"
"129","L2","Posesion","Bloquear posesion de un caido con motivo","Media","Pendiente","El intento de poseer a un caido se rechaza pero conviene que explique el motivo, en vez de parecer que la tecla no funciono.","Mensaje explicito de rechazo al intentar poseer a un soldado sin vida, distinto de la ausencia total de respuesta.","Player/PlayerInputDriver.cs en PossessSquadIndex","Matar un soldado, intentar poseerlo y leer el mensaje y el poseido actual.","Aparece el mensaje y el poseido no cambia.","Punto 10","Bajo","S"
"130","L2","Posesion","Poseer al mas cercano","Media","Pendiente","Poseer exige recordar el numero de cada soldado o apuntarle con precision. Ninguna de las dos cosas es viable bajo fuego.","Comando que posee al aliado vivo mas cercano usando la consulta de cercania del registro.","Player/PlayerInputDriver.cs. Core/ActorRegistry.cs.","Ejecutar el comando y comparar el poseido resultante contra el aliado vivo de menor distancia.","Se posee siempre el mas cercano vivo.","Punto 64","Bajo","S"
"131","L2","Posesion","Ciclar entre vivos","Alta","Pendiente","Las teclas por indice fallan cuando ese soldado murio, y ademas obligan a soltar la mano de la posicion de movimiento.","Ciclo ordenado que salta a los caidos, con teclas contiguas a la mano izquierda.","Player/PlayerInputDriver.cs","Con uno de tres muerto, ciclar tres veces y registrar los soldados poseidos en cada paso.","Nunca cae en el muerto y recorre a los vivos en orden estable.","Punto 199","Bajo","S"
"132","L2","Posesion","Conservar orientacion al cambiar","Media","Pendiente","El pitch de camara es estado del rig y no del soldado, asi que al poseer se hereda el angulo vertical del soldado anterior. Podes aparecer mirando al piso sin motivo.","Resetear o ajustar el pitch al poseer para que corresponda a la orientacion del nuevo soldado, usando el ResetPitch que ya existe.","Camera/CameraRig.cs. Player/PlayerInputDriver.cs.","Poseer con un pitch extremo previo y comparar el pitch resultante contra la orientacion del nuevo soldado.","El pitch corresponde al soldado nuevo y no al anterior.","Punto 127","Bajo","S"
"133","L2","Posesion","Marcador del poseido en el mundo","Media","Pendiente","En vista RTS el roster marca al poseido pero el mundo no. Con la tropa dispersa hay que cruzar el nombre del roster con el mapa para ubicarlo.","Marcador sobre la cabeza del poseido que lo sigue al cambiar, visible principalmente en RTS.","Presentation nueva. Player/PossessionService.cs.","Cambiar de poseido varias veces y verificar que el marcador siempre esta sobre el actual.","El marcador esta siempre sobre el poseido y solo sobre el.","Punto 11","Bajo","S"
"134","L2","Posesion","Aviso de devolucion a la IA","Media","Pendiente","Al cambiar de soldado el anterior recupera su AiBrain y empieza a actuar solo, sin ningun aviso. El jugador ve moverse a un soldado que creia bajo su control.","Aviso al devolver el control a la IA, coordinado con el flag IsPossessedByPlayer que ya se maneja.","Player/PossessionService.cs. Ai/AiBrain.cs.","Cambiar de soldado y verificar el aviso y el valor del flag en el soldado abandonado.","Aparece el aviso y el flag queda en false.","Punto 128","Bajo","S"
"135","L2","Posesion","Vista previa antes de poseer","Media","Pendiente","El panel al apuntar a un aliado muestra vida, arma y rol pero no su estado de IA, que es lo que determina si conviene tomar el control ahora o dejarlo pelear.","Agregar el AiState al panel de informacion de aliado que ya existe.","UI/AimUI.cs en UpdateSoldierInfo. Ai/AiBrain.cs.","Apuntar a un aliado en combate y a otro en patrulla y comparar el panel.","El panel incluye el estado de IA y refleja el real.","Punto 67","Bajo","S"
"136","L3","Destruccion","Obstaculos destructibles por etapas","Alta","Pendiente","Los obstaculos son inmortales. Disparar contra la cobertura no produce ningun cambio, asi que el escenario es decorado y no un elemento tactico.","Dar Health al ObstacleMarker y definir umbrales que cambien el aspecto en etapas hasta el colapso final, que libera escombros del pool compartido.","Presentation/ObstacleMarker.cs. Combat/Health.cs.","Aplicar daño por tramos leyendo el estado visual en cada umbral hasta destruirlo.","Cambia de etapa en cada umbral y colapsa al llegar a cero.","Punto 137","Medio. Cambia la navegacion si la cobertura desaparece.","L"
"137","L3","Destruccion","Pool de escombros compartido","Alta","Pendiente","No existe ningun sistema de escombros. Si se agrega instanciando por evento, el combate masivo genera basura sin control y el recolector produce tirones.","DebrisPool global con presupuesto fijo que recicla las piezas mas viejas cuando se agota, siguiendo el mismo patron de ObjectPool que ya usa ProjectilePool.","Presentation/DebrisPool.cs nuevo. Core/ObjectPool.","Generar mas escombros que el presupuesto y contar objetos activos y creaciones ocurridas.","Nunca supera el tope y no hay instanciacion despues del prellenado.","Punto 234","Bajo","M"
"138","L3","Destruccion","Escombros con vida corta","Media","Pendiente","Los escombros acumulados a lo largo de una batalla larga saturan la pantalla y el presupuesto, sin aportar nada despues de los primeros segundos.","Expiracion por tiempo con hundimiento y desvanecido antes de volver al pool, para que la desaparicion no sea un salto visible.","Presentation/DebrisPool.cs","Generar escombros y contar los activos tras superar el tiempo de vida.","Los escombros expiran y vuelven al pool sin desaparecer de golpe.","Punto 137","Bajo","S"
"139","L3","Destruccion","Crateres decal en el suelo","Media","Pendiente","Las explosiones no dejan rastro. El campo de batalla se ve identico antes y despues de un combate intenso, lo que resta peso a la artilleria.","Decal proyectado en el punto de explosion con cupo maximo y reciclado del mas viejo al superarlo.","Presentation nueva con pool propio","Generar mas crateres que el cupo y contar los activos.","Se mantiene en el cupo reciclando los mas antiguos.","Punto 137","Bajo","M"
"140","L3","Destruccion","Escala del efecto segun daño","Media","Pendiente","Si todos los impactos generan el mismo efecto, un obus de tanque se siente igual que una bala de pistola y se pierde la jerarquia de armas.","Escalar tamaño e intensidad del efecto en funcion del daño del proyectil, que ya viaja en el Projectile.","Combat/Projectile.cs. Presentation/ImpactFx.cs.","Impactar con pistola y con torreta y comparar el tamaño del efecto generado.","El tamaño escala proporcionalmente con el daño.","Punto 94","Bajo","S"
"141","L3","Destruccion","Onda expansiva visible","Alta","Pendiente","El proyectil de torreta tiene radio de explosion pero la explosion no se ve. El jugador no puede aprender el alcance ni evitar el fuego amigo.","Anillo que se expande hasta el explosionRadius real y se desvanece, leyendo el radio del proyectil y no un valor duplicado.","Combat/Projectile.cs. Presentation nueva.","Comparar el radio final del anillo contra el explosionRadius del proyectil disparado.","Coinciden exactamente para distintos valores de radio.","Punto 112","Bajo","M"
"142","L3","Destruccion","Empuje de cuerpos por explosion","Media","Pendiente","La explosion aplica daño en area pero los cuerpos no reaccionan. Una granada se ve igual que un disparo puntual.","Desplazamiento de los soldados dentro del radio proporcional a la cercania al centro, con retorno al control normal de la IA.","Combat/Projectile.cs. Actors/SoldierMotor.cs.","Explotar cerca de dos soldados a distinta distancia y medir el desplazamiento de cada uno.","El mas cercano se desplaza mas y ambos recuperan el control normal.","Punto 141","Medio. Puede interferir con el pathfinding y dejar unidades fuera de la ruta.","M"
"143","L3","Destruccion","Polvo persistente en la zona","Baja","Pendiente","La explosion no altera la visibilidad, asi que no tiene consecuencia tactica mas alla del daño.","Nube breve que oscurece parcialmente la zona y se disipa, con presupuesto compartido para no acumularse.","Presentation nueva con pool","Explotar y verificar que el efecto aparece en el punto y expira.","Aparece en el punto correcto y se disipa solo.","Punto 234","Bajo","M"
"144","L3","Destruccion","Marcas de bala acumulables","Baja","Pendiente","Los impactos no dejan rastro, asi que no se puede leer donde estuvo cayendo el fuego ni ajustar la punteria por las marcas.","Decals pequeños con cupo por superficie y reciclado, servidos del mismo sistema de decals que los crateres.","Presentation nueva con pool","Disparar muchas veces contra una superficie y contar los decals activos.","No supera el cupo por superficie y recicla correctamente.","Punto 139","Bajo","M"
"145","L3","Destruccion","Props que reaccionan al tanque","Baja","Pendiente","El tanque atraviesa el escenario sin alterar nada, lo que refuerza la sensacion de que flota en vez de pesar.","Objetos livianos que se voltean al ser atropellados, detectados por proximidad y no por fisica completa.","Vehicles/VehicleMotor.cs. Presentation nueva.","Pasar el tanque sobre un prop y leer su rotacion antes y despues.","El prop cambia de orientacion al ser atropellado.","Punto 102","Bajo","M"
"146","L3","Destruccion","Chispas al rebotar en blindaje","Media","Pendiente","EnvironmentHitKind ya distingue el vehiculo pero el efecto es el mismo que contra el suelo, asi que no se percibe que el blindaje resiste.","Efecto metalico especifico para impactos contra vehiculo, distinto del polvo de tierra.","Presentation/ImpactFx.cs","Disparar a vehiculo y a suelo y comparar los efectos generados.","Los dos casos generan efectos claramente distintos.","Punto 94","Bajo","S"
"147","L3","Destruccion","Destruccion del vehiculo en dos etapas","Alta","Pendiente","OnDestroyed apaga todo y oscurece el chasis en un solo frame. La muerte del elemento mas poderoso del campo es visualmente anticlimatica.","Separar en etapa de agonia con humo y sistemas caidos y etapa de explosion final, con un intervalo entre ambas.","Vehicles/Vehicle.cs en OnDestroyed","Bajar la vida del vehiculo hasta cero y leer el estado en cada etapa y el intervalo entre ellas.","Pasa por las dos etapas en orden con el intervalo esperado.","Punto 108","Medio. Hay que definir si durante la agonia sigue siendo montable.","M"
"148","L3","Destruccion","Torreta que sale volando","Media","Pendiente","La destruccion del tanque no tiene una señal legible a distancia. En vista RTS es dificil saber si el vehiculo murio.","Desprender el cañon como objeto independiente con impulso al ejecutarse la etapa final de destruccion.","Vehicles/Vehicle.cs. Vehicles/TurretWeapon.cs.","Destruir el vehiculo y verificar que la torreta quedo separada del chasis.","La torreta se separa y queda como objeto independiente.","Punto 147","Bajo","M"
"149","L3","Destruccion","Casco quemado como cobertura","Media","Pendiente","El vehiculo destruido queda como decorado inerte. Convertirlo en cobertura le da una segunda vida tactica y premia haberlo destruido en el lugar correcto.","Mantener el collider activo tras la destruccion para que siga bloqueando proyectiles y sirva de parapeto.","Vehicles/Vehicle.cs en OnDestroyed","Destruir el vehiculo y disparar contra el casco verificando que los proyectiles impactan.","Los proyectiles siguen colisionando con el casco destruido.","Punto 147","Bajo","S"
"150","L3","Tanque","Doble capa de sonido en el cañon","Alta","Pendiente","GenericSfx produce un tono unico. Un cañon necesita al menos dos capas para sonar potente: el cuerpo grave y el crack agudo.","Reproducir dos clips simultaneos de frecuencias muy distintas al disparar la torreta, con la capa grave mas larga.","Presentation/GenericSfx.cs. Vehicles/TurretWeapon.cs.","Disparar y verificar que se reproducen dos clips distintos a la vez.","Suenan las dos capas simultaneamente.","Punto 88","Bajo","S"
"151","L3","Tanque","Sacudida de camara con direccion","Alta","Pendiente","Una vibracion aleatoria no comunica de donde vino la fuerza. El culatazo debe empujar en un sentido concreto para leerse como retroceso.","Impulso direccional opuesto al eje de disparo sumado al presupuesto global de sacudida, en vez de ruido sin direccion.","Camera/CameraRig.cs. Vehicles/TurretWeapon.cs.","Disparar en dos orientaciones distintas y comparar la direccion del desplazamiento de camara.","La direccion es opuesta al disparo en ambos casos.","Punto 180","Bajo","M"
"152","L3","Tanque","Fogonazo con luz real","Alta","Pendiente","Un destello plano pegado a la boca no ilumina nada. Una luz real transforma la percepcion de potencia, sobre todo con poca luz ambiente.","Light puntual encendida uno o dos frames al disparar, reutilizada de un pool y nunca instanciada por disparo.","Vehicles/TurretWeapon.cs. Presentation nueva.","Disparar y muestrear la intensidad de la luz en frames consecutivos.","Se enciende y se apaga en pocos frames y vuelve al pool.","Punto 234","Medio. Las luces dinamicas son caras, hay que limitar cuantas coexisten.","M"
"153","L3","Tanque","Anillo de polvo en la boca","Media","Pendiente","Disparar cerca del suelo no levanta nada, lo que quita realismo al arma mas pesada del juego.","Efecto de polvo en cono generado solo cuando la boca esta por debajo de una altura umbral respecto del terreno.","Vehicles/TurretWeapon.cs. Presentation nueva.","Disparar cerca y lejos del suelo y comparar el efecto generado.","Solo aparece cuando la boca esta cerca del suelo.","Punto 234","Bajo","M"
"154","L3","Tanque","Zoom de mira del artillero","Alta","Pendiente","El artillero usa el mismo FOV que caminando, asi que apuntar a distancia es adivinar. El zoom de mirilla existe a pie pero se desactiva a proposito en vehiculo.","Reducir el FOV al apuntar con la torreta y agregar una viñeta que enmarque la vista, reutilizando el mecanismo de SetZoomed que ya existe.","Camera/CameraRig.cs. Player/PlayerInputDriver.cs en la rama de artillero.","Activar la mira y leer el FOV de la camara, luego soltarla y verificar el retorno.","El FOV baja al valor de mira y vuelve al soltar.","Punto 109","Bajo","S"
"155","L3","Tanque","Balistica visible con caida","Media","Pendiente","El proyectil viaja recto, asi que apuntar es trivial y el tanque no exige ninguna habilidad propia.","Aplicar caida al proyectil de torreta para que describa un arco, manteniendo recto el de las armas de mano.","Combat/Projectile.cs","Registrar la altura del proyectil en varios instantes de su vuelo.","La altura describe una parabola y no una recta.","Punto 156","Medio. Cambia el balance del arma mas potente.","M"
"156","L3","Tanque","Marca de impacto previsto","Alta","Pendiente","Con balistica de arco, apuntar sin ninguna ayuda seria pura adivinanza y frustrante. La marca convierte la dificultad en habilidad aprendible.","Simular la trayectoria y marcar el punto de caida previsto, afinandose cuanto mas estable este el vehiculo.","Vehicles/TurretWeapon.cs. Presentation nueva.","Disparar al punto marcado y comparar el impacto real contra la prediccion.","El impacto cae dentro de una tolerancia estrecha del punto previsto.","Punto 155","Medio. La prediccion debe usar exactamente la misma fisica que el proyectil real.","M"
"157","L3","Tanque","Sonido de mecanismo al recargar","Media","Pendiente","El fin del cooldown de torreta es invisible y mudo. El jugador tiene que mirar el HUD para saber si ya puede disparar, justo cuando debe mirar el campo.","Clip corto reproducido exactamente al completarse el cooldown, no al iniciarlo.","Vehicles/TurretWeapon.cs en Tick","Forzar el cooldown y verificar el momento exacto de reproduccion del clip.","Suena al completarse el cooldown y no antes.","Punto 111","Bajo","S"
"158","L3","Tanque","Sobrecalentamiento del cañon","Media","Pendiente","El cooldown fijo permite disparar indefinidamente al mismo ritmo, lo que elimina toda decision sobre cuando disparar.","Acumulador de calor que sube al disparar y baja con el tiempo, aumentando el cooldown efectivo y enrojeciendo el metal.","Vehicles/TurretWeapon.cs","Disparar en rafaga sostenida midiendo el cooldown efectivo y el color en cada disparo.","El cooldown crece con el calor acumulado y el color lo refleja.","Punto 111","Medio. Cambia el balance del arma principal.","M"
"159","L3","Tanque","Camara de seguimiento del proyectil","Baja","Pendiente","El disparo mas espectacular del juego se pierde de vista apenas sale. No hay forma de apreciar el impacto a distancia.","Modo opcional que acompaña al proyectil hasta el impacto y devuelve la camara al artillero, sin quitar el control durante mas de un instante.","Camera/CameraRig.cs. Combat/Projectile.cs.","Activar el modo, disparar y verificar que la camara sigue al proyectil y vuelve al terminar.","La camara acompaña al proyectil y regresa correctamente.","Punto 155","Medio. Perder el control de camara en combate puede ser peligroso para el jugador.","M"
"160","L3","Tanque","Tipos de municion","Media","Pendiente","Un solo tipo de proyectil significa que no hay decision previa al disparo. Dos tipos crean una eleccion tactica constante.","Alternancia entre municion explosiva de area y perforante de daño concentrado, con reticulo, daño y efecto de impacto distintos.","Vehicles/TurretWeapon.cs. Combat/Projectile.cs. UI/AimUI.cs.","Alternar los dos tipos y comparar reticulo, daño aplicado y efecto de impacto.","Los dos tipos difieren en los tres aspectos.","Punto 141","Medio","L"
"161","L3","Tanque","Vibracion del chasis al disparar","Media","Pendiente","Solo se sacude la camara, asi que el disparo no se percibe desde afuera. En vista RTS un tanque disparando es indistinguible de uno quieto.","Desplazamiento breve del chasis al disparar que vuelve solo, visible tambien para observadores externos.","Vehicles/TurretWeapon.cs. Vehicles/Vehicle.cs.","Disparar y muestrear la posicion del chasis en frames sucesivos desde una camara externa.","El chasis se desplaza y vuelve a su posicion.","Punto 151","Bajo","S"
"162","L3","Impacto enemigo","Hitmarker en capas","Alta","Pendiente","Impacto, impacto critico y baja son tres sucesos con consecuencias muy distintas para la decision del jugador, y hoy producirian la misma señal.","Tres variantes claramente distintas en forma, color y sonido, elegidas segun si hubo daño, daño elevado o muerte.","UI/AimUI.cs. Presentation/GenericSfx.cs.","Generar los tres casos por separado y comparar forma, color y clip de cada uno.","Los tres casos producen señales inequivocamente distintas.","Punto 91, punto 92","Bajo","M"
"163","L3","Impacto enemigo","Numeros de daño agregados","Alta","Pendiente","Un numero por impacto satura la pantalla en combate sostenido y se vuelve ruido ilegible, que es el error clasico de este sistema.","Acumular en un unico texto creciente mientras los impactos al mismo objetivo esten proximos en el tiempo, reiniciando tras una pausa.","Presentation nueva con pool","Aplicar tres daños seguidos al mismo objetivo y contar los textos generados y el valor final.","Se genera un solo texto con la suma correcta.","Punto 19","Bajo","M"
